pulse_index,start_time,end_time,duration,peak_time,peak_value,tr1_rise_time,tr2_fall_time,auc
0,2.2625,2.4625,0.19999999999999973,2.2625,0.875,,,0.13124999999999973
1,2.7625,3.0625,0.2999999999999998,2.7625,1.0,,0.10000000000000009,0.22499999999999976
2,4.1625,4.7625,0.6000000000000005,4.2625,1.0,0.10000000000000053,0.10000000000000053,0.4750000000000001
3,5.8625,6.4625,0.6000000000000005,6.1625,1.0,0.2999999999999998,0.10000000000000053,0.46250000000000013
4,7.2625,7.8625,0.5999999999999996,7.3625,1.0,0.09999999999999964,0.20000000000000018,0.4687499999999998
5,9.2625,9.8625,0.6000000000000014,9.462499999999999,1.0,0.1999999999999993,0.1999999999999993,0.41250000000000075
6,10.662500000000001,11.162500000000001,0.5,10.662500000000001,1.0,,0.10000000000000142,0.3999999999999986
7,12.2625,12.962499999999999,0.6999999999999993,12.3625,1.0,0.10000000000000142,0.1999999999999993,0.5500000000000003
8,13.7625,14.5625,0.8000000000000007,13.7625,1.0,,0.10000000000000142,0.7000000000000002
9,15.2625,15.8625,0.6000000000000014,15.3625,1.0,0.10000000000000142,,0.5375000000000005
10,16.5625,17.0625,0.5,16.6625,1.0,0.10000000000000142,0.3000000000000007,0.3312499999999994
11,17.9625,18.5625,0.6000000000000014,17.9625,1.0,,0.10000000000000142,0.5000000000000009
